Account ID,Account Name,Instance ID,Instance Type,OS,Region,Running Hours,RI Hours,OD Hours, CPU Utilization ,Memory Utilization,Disk Utilization,Recommended Action,Recommended Instance Type 1, Recommended Instance Type 1 Estimated Savings , Recommended Instance Type 1 Projected CPU ,Recommended Instance Type 1 Projected Memory,Recommended Instance Type 1 Projected Disk,Recommended Instance Type 2, Recommended Instance Type 2 Estimated Savings , Recommended Instance Type 2 Projected CPU ,Recommended Instance Type 2 Projected Memory,Recommended Instance Type 2 Projected Disk,Recommended Instance Type 3, Recommended Instance Type 3 Estimated Savings , Recommended Instance Type 3 Projected CPU ,Recommended Instance Type 3 Projected Memory,Recommended Instance Type 3 Projected Disk
836000000000,WA Cost Labs,i-012388,m5.xlarge,Linux/UNIX,EU (Frankfurt),330,0,330, 6.00 ,,,Modify,m5.large, $82.45 , 12.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-012408,t2.small,Linux/UNIX,US East (N. Virginia),329,0,329, 12.00 ,,,Modify,t2.micro, $8.15 , 12.00 ,,,t2.nano, $12.29 , 12.00 ,,,,,,,
836000000000,WA Cost Labs,i-012464,t3.small,Linux/UNIX,EU (Frankfurt),280.408611,0,280.408611, 38.00 ,,,Modify,t3.micro, $7.31 , 38.00 ,,,t3.nano, $10.97 , 38.00 ,,,,,,,
836000000000,WA Cost Labs,i-012486,c4.4xlarge,Linux/UNIX,EU (Ireland),0.073889,0,0.073889, 4.97 ,,,Modify,c4.2xlarge, $0.07 , 9.94 ,,,c4.xlarge, $0.11 , 19.88 ,,,c4.large, $0.13 , 39.75 ,,
836000000000,WA Cost Labs,i-012494,t2.micro,Linux/UNIX,EU (Frankfurt),330,0,330, 0.51 ,,,Terminate,, $9.61 ,,,,,,,,,,,,,
836000000000,WA Cost Labs,i-01250,c4.4xlarge,Linux/UNIX,EU (Ireland),0.118056,0,0.118056, 11.44 ,,,Modify,c4.2xlarge, $0.12 , 22.88 ,,,c4.xlarge, $0.17 , 45.75 ,,,,,,,
836000000000,WA Cost Labs,i-012580,m5.2xlarge,Red Hat Enterprise Linux,US East (N. Virginia),329,0,329, 18.00 ,,,Modify,m5.xlarge, $187.28 , 36.00 ,,,m5.large, $255.90 , 72.00 ,,,,,,,
836000000000,WA Cost Labs,i-012590,t3.small,Linux/UNIX,EU (Frankfurt),330,0,330, 3.00 ,,,Modify,t3.micro, $8.60 , 3.00 ,,,t3.nano, $12.91 , 3.00 ,,,,,,,
836000000000,WA Cost Labs,i-012599,t3.micro,Linux/UNIX,EU (Frankfurt),1.771667,0,1.771667, 27.00 ,,,Modify,t3.nano, $0.02 , 27.00 ,,,,,,,,,,,,
836000000000,WA Cost Labs,i-01262,c5.2xlarge,Linux/UNIX,US East (N. Virginia),330,330,0, -   ,,,Terminate,, $-   ,,,,,,,,,,,,,
